Price,Year,Bodytype,FuelType,Mil,Trim,Spoiler,Airconditioning,alarm,alloywheels,bumper,cdplayer,cruisecontrol,foglights,tripcomputer,immobilizer
"30,995",2018,Suv,Petrol,"12,537",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"31,998",2018,Suv,Petrol,"36,916",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"7,899",2010,Suv,Petrol,"154,398",3.2,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
"9,488",2011,Suv,Petrol,"104,278",2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
"29,985",2018,Suv,Petrol,"55,284",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"14,850",2010,Suv,Petrol,"84,339",3.2,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
"31,900",2018,Suv,Petrol,"41,076",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"34,977",2018,Suv,Petrol,"27,850",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"41,590",2019,Suv,Petrol,"20,892",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"36,787",2018,Suv,Petrol,"27,254",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"18,169",2013,Suv,Petrol,"84,613",3.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
"42,997",2019,Suv,Petrol,"38,013",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"29,998",2018,Suv,Petrol,"33,042",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"34,444",2018,Suv,Petrol,"25,938",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
"32,990",2018,Suv,Petrol,"54,407",2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0
